V1,V2,V3,V4
021081804BOTSWANA,PULA FUNDBANK OF BOTSWANA PULA FUND    ,Y,N20150326
021081817KENYA,RAMP CENTRAL BANK OF KENYA-RAMP ACCOUNT    ,N,Y20141217
021081833ECB,"DES ACCT DE ECBDESIGNATED ACCOUNT DE,    ",Y,Y20090227
021081859FRB,SP OPS ACCT2 FRBNY SPECIAL OPERATIONS ACOUNT 2  ,Y,N20090304
021081888FRB,SP OPS ACCT 3 FRBNY SPECIAL OPERATIONS ACCOUNT 3 ,Y,N20090324
021081891NBKAZAK,NF SAVINGSNBK-NATIONAL FUND SAVINGS ACCT     ,Y,Y20080813
021081901NBK,STABILIZATION NBK - NATL FUND STABILIZATION ACCT   ,Y,Y20100726
021081914FRANCE,ACCT B BANQUE DE FRANCE- ACCOUNT B   ,Y,N20090320
021081927YEMEN,RAMP CENTRAL BANK OF YEMEN- RAMP ACCOUNT   ,Y,Y20090427
021081930AFGHANISTAN,RAMP DA AFGHANISTAN BANK-RAMP ACCOUNT     ,Y,Y20090716
021081985BOJ,- OPS ACCT 2 BANK OF JAPAN - OPS ACCT,Y,Y20090715
021081998INDIA,FMS RESERVE BANK OF INDIA     ,Y,Y20090702
021082007IDA,WASH IDA WASH/FOREIGN DEPARTMENT      ,Y,Y
021082065MONGOLIA,SP ACCT BANK OF MONGOLIA SPECIAL ACCOUNT   ,Y,N20091224
021082146ENGLAND-NO.,3 AC BANK OF ENGLAND-NO.3 ACCOUNT    ,Y,Y20100219
021082159IFAD,IFAD/FOREIGN DEPARTMENT        ,Y,N20150312
021082162IFC,ACCT ONE IFC WASH/FOREIGN DEPARTMENT     ,Y,Y
021082191CANADA,FISCALAGT BBANK OF CANADA FISCAL AGENT ACCT B  ,Y,N20120418
021082227AFRICAN,DEVBK IPPFAFRICAN DEVBK NEPAD-IPPF      ,Y,N20100423
021082243UGANDA,SP ACCT BANK OF UGANDA-SPECIAL ACCOUNT    ,Y,N20100602
021082256ESTONIA,OPS ACCT1 EESTI PANK OPS ACCT 1   ,Y,Y20110127
021082272SINGAPORE,OP2 SINGAPORE OPS ACCOUNT 2     ,Y,Y20111103
021082285SIERRA,LEONE SP ACSIERRA LEONE SPECIAL ACCT    ,Y,N20120223
021082298SURINAM,IP CENTRAL BANK VAN SURINAM - IP ACCT  ,Y,Y20130517
021082308FRB,SP OPS ACCT 1 FRBNY SPECIAL OPERATIONS ACCOUNT 1 ,Y,N20090109
021082311BUR,FIN PROTECTIONBUREAU OF CONSUMER FIN PROTECTION    ,Y,Y20120418
021082324IMF,ACCT ONE IMF ACCT ONE/FOREIGN DEPARTMENT    ,Y,Y
021082353IRELAND,OPS ACCT2 CENT BK OF IRELAND OPS ACCT 2 ,Y,N20110113
021082366GHANA,- PETROLEUM GHANA - PETROLEUM FUNDS ACCT   ,Y,N20110413
021082379MALAYSIA,- PORTFOLMALAYSIA - SEPARATE PORTFOLIO ACCT    ,Y,Y20110413
021082382IMF,ADMIN CONTRIB IMF ADMIN CONTRIB/FOREIGN DEPARTMENT    ,Y,N
021082395IMF,SP DISB IMF SP DISB/FOREIGN DEPARTMENT    ,Y,N
021082405IMF,SUPPL FIN FAC IMF SUPPL FIN FAC/FOREIGN DEPARTMENT  ,Y,N
